iter	Passed	Remaining
368	1175	417
369	1177	413
370	1180	410
371	1182	406
372	1184	403
373	1187	400
374	1189	396
375	1191	393
376	1194	389
377	1197	386
378	1202	383
379	1207	381
380	1209	377
381	1212	374
382	1214	371
383	1216	367
384	1219	364
385	1223	361
386	1226	357
387	1230	355
388	1232	351
389	1234	348
390	1237	345
391	1239	341
392	1243	338
393	1246	335
394	1248	331
395	1251	328
396	1253	325
397	1256	322
398	1259	318
399	1261	315
400	1263	311
401	1269	309
402	1273	306
403	1277	303
404	1279	300
405	1291	299
406	1295	296
407	1301	293
408	1305	290
409	1307	287
410	1309	283
411	1313	280
412	1316	277
413	1318	273
414	1320	270
415	1322	267
416	1324	263
417	1329	260
418	1332	257
419	1337	254
420	1340	251
421	1344	248
422	1346	245
423	1349	241
424	1351	238
425	1353	235
426	1356	231
427	1363	229
428	1365	226
429	1368	222
430	1370	219
431	1373	216
432	1375	212
433	1377	209
434	1379	206
435	1385	203
436	1390	200
437	1393	197
438	1396	194
439	1398	190
440	1400	187
441	1402	184
442	1404	180
443	1407	177
444	1411	174
445	1414	171
446	1417	168
447	1419	164
448	1422	161
449	1426	158
450	1429	155
451	1431	152
452	1433	148
453	1437	145
454	1441	142
455	1444	139
456	1447	136
457	1453	133
458	1459	130
459	1462	127
460	1465	123
461	1468	120
462	1470	117
463	1472	114
464	1475	111
465	1479	107
466	1481	104
467	1483	101
468	1485	98
469	1489	95
470	1492	91
471	1494	88
472	1496	85
473	1498	82
474	1500	78
475	1502	75
476	1508	72
477	1510	69
478	1512	66
479	1514	63
480	1517	59
481	1520	56
482	1523	53
483	1526	50
484	1533	47
485	1535	44
486	1537	41
487	1540	37
488	1542	34
489	1547	31
490	1552	28
491	1555	25
492	1558	22
493	1562	18
494	1564	15
495	1566	12
496	1568	9
497	1570	6
498	1572	3
499	1578	0
